Country,Item,Text,Type,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
DelRio,1,El cadete que insultó al coronel estuvo en el calabozo.,Subject,3,4-5,6,7,8.497128,16.895474,7.48758,12.441216,2.37469,7.391483,8.323132,3.326321,1.82481,15.248064,,7.48758,14.815906,7.391483,8.323132
DelRio,1,El cadete al que el coronel insultó estuvo en el calabozo.,Object-Topicalized,3,5-6,7,8,8.497128,16.895474,6.741486,3.815865,4.767849,8.90988,13.705745,10.25733,3.458226,1.817373,16.834501,6.741486,13.677729,13.705745,10.25733
DelRio,1,El cadete al que insultó el coronel estuvo en el calabozo.,Object-Subject-Inversion,3,5-6,7,8,8.497128,16.895474,6.741486,3.815865,12.368602,3.237796,8.290045,8.771569,3.285331,1.867972,16.818074,6.741486,15.606398,8.290045,8.771569
DelRio,2,El sacerdote que rescató al muchacho nadaba en el río.,Subject,3,4-5,6,7,8.497128,30.703561,7.710533,13.251711,6.05824,12.602617,13.731513,2.456155,1.750821,7.510435,,7.710533,19.309951,12.602617,13.731513
DelRio,2,El sacerdote al que el muchacho rescató nadaba en el río.,Object-Topicalized,3,5-6,7,8,8.497128,30.703561,7.325768,5.425393,4.858198,11.670633,16.30688,13.303699,2.191891,1.721453,7.590694,7.325768,16.528831,16.30688,13.303699
DelRio,2,El sacerdote al que rescató el muchacho nadaba en el río.,Object-Subject-Inversion,3,5-6,7,8,8.497128,30.703561,7.325768,5.425393,12.960958,4.24167,11.638693,13.558099,2.307653,1.748229,7.030607,7.325768,17.202628,11.638693,13.558099
DelRio,3,El cantante que empujó al escritor conduce un coche rojo.,Subject,3,4-5,6,7,8.497128,10.634301,9.861884,19.915042,4.178795,9.938025,10.42524,3.611578,8.485496,9.77803,,9.861884,24.093837,9.938025,10.42524
DelRio,3,El cantante al que el escritor empujó conduce un coche rojo.,Object-Topicalized,3,5-6,7,8,8.497128,10.634301,7.7779,4.950424,4.545628,8.807005,18.554673,8.717728,3.714008,8.945936,9.787653,7.7779,13.352633,18.554673,8.717728
DelRio,3,El cantante al que empujó el escritor conduce un coche rojo.,Object-Subject-Inversion,3,5-6,7,8,8.497128,10.634301,7.7779,4.950424,19.031119,3.271161,9.473439,10.614367,3.732451,8.74119,9.925637,7.7779,22.30228,9.473439,10.614367
DelRio,4,El marinero que ofendió al concejal odia a los políticos.,Subject,3,4-5,6,7,8.497128,15.305064,7.180218,24.748783,7.080079,13.480407,12.802035,3.272995,2.968274,11.80629,,7.180218,31.828862,13.480407,12.802035
DelRio,4,El marinero al que el concejal ofendió odia a los políticos.,Object-Topicalized,3,5-6,7,8,8.497128,15.305064,7.168499,3.288417,5.026469,10.743177,20.93369,12.601625,3.767408,3.430479,11.586471,7.168499,15.769646,20.93369,12.601625
DelRio,4,El marinero al que ofendió el concejal odia a los políticos.,Object-Subject-Inversion,3,5-6,7,8,8.497128,15.305064,7.168499,3.288417,24.457089,5.016288,12.099066,12.902503,3.62343,3.172418,11.99111,7.168499,29.473377,12.099066,12.902503
DelRio,5,El joyero que delató al perista confiaba en la justicia.,Subject,3,4-5,6,7,8.497128,14.414247,7.253792,20.658394,5.711473,16.571754,19.38808,3.039423,2.143881,8.629543,,7.253792,26.369867,16.571754,19.38808
DelRio,5,El joyero al que el perista delató confiaba en la justicia.,Object-Topicalized,3,5-6,7,8,8.497128,14.414247,7.671761,4.115999,4.568416,16.367651,16.666049,19.959368,2.957856,2.069619,8.38699,7.671761,20.936067,16.666049,19.959368
DelRio,5,El joyero al que delató el perista confiaba en la justicia.,Object-Subject-Inversion,3,5-6,7,8,8.497128,14.414247,7.671761,4.115999,20.985504,4.587772,15.390915,19.236259,2.922003,2.080621,8.606551,7.671761,25.573276,15.390915,19.236259
DelRio,6,El político que elogiaba al ciclista tuvo un grave percance.,Subject,3,4-5,6,7,8.497128,11.455889,6.9864,17.995271,3.519385,9.885098,8.640192,5.513902,9.134476,14.179959,,6.9864,21.514656,9.885098,8.640192
DelRio,6,El político al que el ciclista elogiaba tuvo un grave percance.,Object-Topicalized,3,5-6,7,8,8.497128,11.455889,6.943431,4.234431,4.909943,9.499426,16.312887,7.622874,5.737807,8.798309,13.772312,6.943431,14.409369,16.312887,7.622874
DelRio,6,El político al que elogiaba el ciclista tuvo un grave percance.,Object-Subject-Inversion,3,5-6,7,8,8.497128,11.455889,6.943431,4.234431,17.564181,2.407319,11.261521,8.475099,5.57269,8.801465,12.726404,6.943431,19.9715,11.261521,8.475099
DelRio,7,El anciano que agredió al borracho paseaba por la calle.,Subject,3,4-5,6,7,8.497128,13.189274,9.399866,24.284319,7.047069,11.346713,17.59537,5.297407,2.359559,5.826935,,9.399866,31.331388,11.346713,17.59537
DelRio,7,El anciano al que el borracho agredió paseaba por la calle.,Object-Topicalized,3,5-6,7,8,8.497128,13.189274,8.198694,5.03102,4.583467,8.622423,23.715006,18.943172,5.360053,2.191072,5.632281,8.198694,13.20589,23.715006,18.943172
DelRio,7,El anciano al que agredió el borracho paseaba por la calle.,Object-Subject-Inversion,3,5-6,7,8,8.497128,13.189274,8.198694,5.03102,24.731539,6.180601,9.005862,17.16155,5.1949,2.279017,5.798981,8.198694,30.91214,9.005862,17.16155
